facility_id,facility_name,lat,lon,tests_per_month,cartridge_availability,assigned_cdst_id
FAC-01,Kolkata DHC,22.594516,88.35901,198,135,CDST-01
FAC-02,Kolkata NRS CHC,22.560589,88.310134,73,79,CDST-01
FAC-03,North 24 Parganas DHC (Barasat),22.742691,88.502585,212,54,CDST-01
FAC-04,North 24 Parganas CHC (Basirhat),22.653331,88.869364,38,75,CDST-01
FAC-05,South 24 Parganas DHC (Diamond Harbour),22.203309,88.221621,218,89,CDST-01
FAC-06,South 24 Parganas CHC (Canning),22.296779,88.667667,109,5,CDST-01
FAC-07,Howrah DHC,22.62201,88.274133,149,124,CDST-01
FAC-08,Hooghly DHC (Chinsurah),22.884962,88.428156,200,139,CDST-01
FAC-09,Nadia DHC (Krishnanagar),23.426371,88.478071,185,91,CDST-01
FAC-10,Nadia CHC (Kalyani),22.938504,88.406743,95,55,CDST-01
FAC-11,Uttar Dinajpur DHC (Raiganj),25.638681,88.161601,194,76,CDST-02
FAC-12,Uttar Dinajpur CHC (Islampur),26.258137,88.184564,100,15,CDST-02
FAC-13,Dakshin Dinajpur DHC (Balurghat),25.201594,88.768056,179,65,CDST-02
FAC-14,Jalpaiguri DHC,26.558485,88.712872,149,132,CDST-02
FAC-15,Jalpaiguri CHC (Mal),26.887521,88.697589,97,67,CDST-02
FAC-16,Alipurduar DHC,26.514081,89.518598,282,72,CDST-02
FAC-17,Cooch Behar DHC,26.3407,89.41758,270,62,CDST-02
FAC-18,Darjeeling DHC,27.001589,88.289254,261,113,CDST-02
FAC-19,Kalimpong DHC,27.083213,88.494458,220,90,CDST-02
FAC-20,Purba Medinipur DHC (Tamluk),22.288699,87.893784,164,52,CDST-03
FAC-21,Purba Medinipur CHC (Haldia),22.039172,88.055988,106,45,CDST-03
FAC-22,Paschim Medinipur DHC,22.4451,87.329877,222,101,CDST-03
FAC-23,Paschim Medinipur CHC (Kharagpur),22.350737,87.308016,80,2,CDST-03
FAC-24,Jhargram DHC,22.453737,86.969567,170,85,CDST-03
FAC-25,Bankura DHC,23.260672,87.053715,268,46,CDST-03
FAC-26,Bankura CHC (Bishnupur),23.059511,87.298488,63,53,CDST-03
FAC-27,Purulia DHC,23.336863,86.386512,300,113,CDST-03
FAC-28,Purulia CHC (Raghunathpur),23.536011,86.696722,52,13,CDST-03
FAC-29,Birbhum DHC (Suri),23.871017,87.501004,259,120,CDST-04
FAC-30,Birbhum CHC (Bolpur),23.66685,87.688102,110,40,CDST-04
FAC-31,Murshidabad DHC (Berhampore),24.077985,88.260406,209,89,CDST-04
FAC-32,Murshidabad CHC (Jangipur),24.458682,88.057921,89,51,CDST-04
FAC-33,Malda DHC (English Bazar),24.991845,88.110112,182,53,CDST-04
FAC-34,Malda CHC (Old Malda),25.063752,88.169786,70,56,CDST-04
FAC-35,Purba Bardhaman DHC (Burdwan),23.21367,87.899034,167,126,CDST-05
FAC-36,Purba Bardhaman CHC (Katwa),23.665451,88.126549,94,22,CDST-05
FAC-37,Paschim Bardhaman DHC (Asansol),23.651211,87.006208,143,90,CDST-05
FAC-38,Paschim Bardhaman CHC (Durgapur),23.496589,87.296377,101,46,CDST-05
